time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_raw_grid_cost,rt_raw_thermal_cost,rt_raw_battery_cost,rt_raw_caes_cost,rt_raw_curtailment_cost,rt_raw_unserved_cost,rt_raw_ramp_cost,rt_raw_total_cost,rt_cost_reference,rt_cost_reference_missing,rt_normalized_cost,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed
111600.0,30,-0.5649037433370856,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-5656.753253352689,60000.0,0.0,0.0,-0.0,0.0,0.0,54343.24674664731,96199.12664345714,0.0,0.5649037433370856,0.0,-0.5649037433370856,0.06727916914353593,0.004526486600644517,0.05,0.0,0.5,0.7827208042144775,0.5,0.5,7827208.5,258.4358215332031,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-56567532.0,0.0,0.0,-13441535.0,-13441535.0,220009072.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
115200.0,31,-0.6068103072880414,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-1625.3784006425558,60000.0,0.0,0.0,-0.0,0.0,0.0,58374.621599357444,96199.12664345714,0.0,0.6068103072880414,0.0,-0.6068103072880414,0.06573998658779878,0.004321745836563964,0.05,0.0,0.5,0.7842600345611572,0.5,0.5,7842600.0,258.94403076171875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-16253784.0,0.0,-0.0,-61442920.0,-61442920.0,227696704.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
118800.0,32,-0.761473879713957,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,13253.122190287595,60000.0,0.0,0.0,-0.0,0.0,0.0,73253.1221902876,96199.12664345714,0.0,0.761473879713957,0.0,-0.761473879713957,0.06159291749613671,0.003793687485685904,0.05,0.0,0.5,0.7884070873260498,0.5,0.5,7884071.0,260.31329345703125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,22088536.0,0.0,0.0,-101901512.0,-101901512.0,229812976.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
122400.0,33,-0.9156097837665558,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,28080.861544547304,60000.0,0.0,0.0,-0.0,0.0,0.0,88080.86154454731,96199.12664345714,0.0,0.9156097837665558,0.0,-0.9156097837665558,0.05583864560717422,0.0031179543432435968,0.05,0.0,0.5,0.7941613793373108,0.5,0.5,7941613.5,262.21319580078125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,46801436.0,0.0,-0.0,-122115376.0,-122115376.0,225313936.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
126000.0,34,-0.9731376123207393,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,33614.988409154284,60000.0,0.0,0.0,-0.0,0.0,0.0,93614.98840915429,96199.12664345714,0.0,0.9731376123207393,0.0,-0.9731376123207393,0.0501189011521741,0.002511904252701398,0.05,0.0,0.5,0.799881100654602,0.5,0.5,7998811.0,264.1017150878906,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,56024980.0,0.0,-0.0,-135385456.0,-135385456.0,229360480.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
129600.0,35,-1.0804114911422236,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,43934.64186343714,60000.0,0.0,0.0,-0.0,0.0,0.0,103934.64186343714,96199.12664345714,0.0,1.0804114911422236,0.0,-1.0804114911422236,0.04521999432144841,0.002044847886431826,0.05,1.0,0.5,0.8047800064086914,0.5,0.5,8047800.0,265.7192077636719,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,73224400.0,0.0,0.0,-129865488.0,-129865488.0,206641088.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
133200.0,36,-0.7525702980639977,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,12396.605411562814,60000.0,0.0,0.0,-0.0,0.0,0.0,72396.6054115628,96199.12664345714,0.0,0.7525702980639977,0.0,-0.7525702980639977,0.041212137030449014,0.0016984402386165068,0.05,1.0,0.5,0.8087878823280334,0.5,0.5,8087878.5,267.0425109863281,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,20661010.0,0.0,0.0,-108740912.0,-108740912.0,238079904.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
136800.0,37,-0.6157555535337893,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-764.8535241909503,60000.0,0.0,0.0,-0.0,0.0,0.0,59235.14647580905,96199.12664345714,0.0,0.6157555535337893,0.0,-0.6157555535337893,0.038089870011496774,0.0014508381974927213,0.05,1.0,0.5,0.8119101524353027,0.5,0.5,8119101.5,268.07342529296875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-7648535.0,0.0,0.0,-74908640.0,-74908640.0,232557168.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
140400.0,38,-0.5851860107770691,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-3705.6168392772524,60000.0,0.0,0.0,-0.0,0.0,0.0,56294.38316072275,96199.12664345714,0.0,0.5851860107770691,0.0,-0.5851860107770691,0.036210346969248186,0.0013111892276333414,0.05,1.0,0.5,0.8137896656990051,0.5,0.5,8137896.5,268.6939697265625,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-37056168.0,0.0,0.0,-30498326.0,-30498326.0,217554496.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
144000.0,39,-0.5554834017158351,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,-6562.981890000001,60000.0,0.0,0.0,-0.0,0.0,0.0,53437.01811,96199.12664345714,0.0,0.5554834017158351,0.0,-0.5554834017158351,0.036478987689926745,0.001330716542881827,0.05,1.0,0.5,0.8135210275650024,0.5,0.5,8135210.0,268.60528564453125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-65629820.0,0.0,0.0,-0.0,-0.0,215629824.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True
