time,buy_yuan_per_kwh,sell_yuan_per_kwh,band
2311200,1.13597,0.1875,S
2314800,0.98555,0.1875,P
2318400,0.98555,0.1875,P
2322000,0.63457,0.1875,F
2325600,0.63457,0.1875,F
2329200,0.63457,0.1875,F
2332800,0.63457,0.1875,F
2336400,0.63457,0.1875,F
2340000,0.28359,0.1875,V
2343600,0.28359,0.1875,V
2347200,0.28359,0.1875,V
2350800,0.28359,0.1875,V
2354400,0.63457,0.1875,F
2358000,0.98555,0.1875,P
2361600,0.98555,0.1875,P
2365200,0.63457,0.1875,F
2368800,0.28359,0.1875,V
2372400,0.18331,0.1875,D
2376000,0.18331,0.1875,D
2379600,0.18331,0.1875,D
2383200,0.28359,0.1875,V
2386800,0.63457,0.1875,F
2390400,1.13597,0.1875,S
2394000,1.13597,0.1875,S
2397600,1.13597,0.1875,S
2401200,0.98555,0.1875,P
2404800,0.98555,0.1875,P
2408400,0.63457,0.1875,F
2412000,0.63457,0.1875,F
2415600,0.63457,0.1875,F
2419200,0.63457,0.1875,F
2422800,0.63457,0.1875,F
2426400,0.28359,0.1875,V
2430000,0.28359,0.1875,V
2433600,0.28359,0.1875,V
2437200,0.28359,0.1875,V
2440800,0.63457,0.1875,F
2444400,0.98555,0.1875,P
2448000,0.98555,0.1875,P
2451600,0.63457,0.1875,F
2455200,0.28359,0.1875,V
2458800,0.18331,0.1875,D
2462400,0.18331,0.1875,D
2466000,0.18331,0.1875,D
2469600,0.28359,0.1875,V
2473200,0.63457,0.1875,F
2476800,1.13597,0.1875,S
2480400,1.13597,0.1875,S
2484000,1.13597,0.1875,S
2487600,0.98555,0.1875,P
2491200,0.98555,0.1875,P
2494800,0.63457,0.1875,F
2498400,0.63457,0.1875,F
2502000,0.63457,0.1875,F
2505600,0.63457,0.1875,F
2509200,0.63457,0.1875,F
2512800,0.28359,0.1875,V
2516400,0.28359,0.1875,V
2520000,0.28359,0.1875,V
2523600,0.28359,0.1875,V
2527200,0.63457,0.1875,F
2530800,0.98555,0.1875,P
2534400,0.98555,0.1875,P
2538000,0.63457,0.1875,F
2541600,0.28359,0.1875,V
2545200,0.18331,0.1875,D
2548800,0.18331,0.1875,D
2552400,0.18331,0.1875,D
2556000,0.28359,0.1875,V
2559600,0.63457,0.1875,F
2563200,1.13597,0.1875,S
2566800,1.13597,0.1875,S
2570400,1.13597,0.1875,S
2574000,0.98555,0.1875,P
2577600,0.98555,0.1875,P
2581200,0.63457,0.1875,F
2584800,0.63457,0.1875,F
2588400,0.63457,0.1875,F
2592000,0.63457,0.1875,F
2595600,0.63457,0.1875,F
2599200,0.28359,0.1875,V
2602800,0.28359,0.1875,V
2606400,0.28359,0.1875,V
2610000,0.28359,0.1875,V
2613600,0.63457,0.1875,F
2617200,0.98555,0.1875,P
2620800,0.98555,0.1875,P
2624400,0.63457,0.1875,F
2628000,0.28359,0.1875,V
2631600,0.18331,0.1875,D
2635200,0.18331,0.1875,D
2638800,0.18331,0.1875,D
2642400,0.28359,0.1875,V
2646000,0.63457,0.1875,F
2649600,1.13597,0.1875,S
2653200,1.13597,0.1875,S
2656800,1.13597,0.1875,S
2660400,0.98555,0.1875,P
2664000,0.98555,0.1875,P
2667600,0.63457,0.1875,F
2671200,0.63457,0.1875,F
2674800,0.63457,0.1875,F
2678400,0.63457,0.1875,F
2682000,0.63457,0.1875,F
2685600,0.28359,0.1875,V
2689200,0.28359,0.1875,V
2692800,0.28359,0.1875,V
2696400,0.28359,0.1875,V
2700000,0.63457,0.1875,F
2703600,0.98555,0.1875,P
2707200,0.98555,0.1875,P
2710800,0.63457,0.1875,F
2714400,0.28359,0.1875,V
2718000,0.18331,0.1875,D
2721600,0.18331,0.1875,D
2725200,0.18331,0.1875,D
2728800,0.28359,0.1875,V
2732400,0.63457,0.1875,F
2736000,1.13597,0.1875,S
2739600,1.13597,0.1875,S
2743200,1.13597,0.1875,S
2746800,0.98555,0.1875,P
2750400,0.98555,0.1875,P
2754000,0.63457,0.1875,F
2757600,0.63457,0.1875,F
2761200,0.63457,0.1875,F
2764800,0.63457,0.1875,F
2768400,0.63457,0.1875,F
2772000,0.28359,0.1875,V
2775600,0.28359,0.1875,V
2779200,0.28359,0.1875,V
2782800,0.28359,0.1875,V
2786400,0.63457,0.1875,F
2790000,0.98555,0.1875,P
2793600,0.98555,0.1875,P
2797200,0.63457,0.1875,F
2800800,0.28359,0.1875,V
2804400,0.18331,0.1875,D
2808000,0.18331,0.1875,D
2811600,0.18331,0.1875,D
2815200,0.28359,0.1875,V
2818800,0.63457,0.1875,F
2822400,1.13597,0.1875,S
2826000,1.13597,0.1875,S
2829600,1.13597,0.1875,S
2833200,0.98555,0.1875,P
2836800,0.98555,0.1875,P
2840400,0.63457,0.1875,F
2844000,0.63457,0.1875,F
2847600,0.63457,0.1875,F
2851200,0.63457,0.1875,F
2854800,0.63457,0.1875,F
2858400,0.28359,0.1875,V
2862000,0.28359,0.1875,V
2865600,0.28359,0.1875,V
2869200,0.28359,0.1875,V
2872800,0.63457,0.1875,F
2876400,0.98555,0.1875,P
2880000,0.98555,0.1875,P
2883600,0.63457,0.1875,F
2887200,0.28359,0.1875,V
2890800,0.18331,0.1875,D
2894400,0.18331,0.1875,D
2898000,0.18331,0.1875,D
2901600,0.28359,0.1875,V
2905200,0.63457,0.1875,F
2908800,1.13597,0.1875,S
2912400,1.13597,0.1875,S
2916000,1.13597,0.1875,S
